0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/D2_Blueline.gif HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:50:01 +0530] "GET /ACIMS/D4_redbullet.gif HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:55:19 +0530] "GET /ACIMS/index.jsp HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:55:19 +0530] "GET /ACIMS/st.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:55:19 +0530] "GET /ACIMS/rotate/slideshow.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:55:19 +0530] "GET /menu_arrows.gif HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Mar/2016:13:55:20 +0530] "GET /ACIMS/bgserch.gif HTTP/1.1" 404 1006
